Id,UserId,Avatar,Author,Content,ReactionsCount,Depth,SubCommentsCount,CommentAt,,,Link postingan,https://www.instagram.com/reel/DAfJfuySQXX/?utm_source=ig_web_copy_link
17881395036134317,9213736816,,karinanti,Alhamdulillah semoga di segerakan ingin sekali kerumah mu ya Allah 🥹,0,0,0,09/29/2024 8:10 PM,,,,
17991294908546965,48517303866,,mhieomhie,Masyaallah 🥰🥰❤️,0,0,0,09/29/2024 8:13 PM,,,,
17880838011134568,52776369542,,nurrohmah304,"Masya Allah Tabarakallah, sehat2 selalu mama pau❤️",0,0,0,09/29/2024 8:14 PM,,,,
18121826989377103,1719831282,,jannahishere,Transisi impian ku 🥹,0,0,0,09/29/2024 8:15 PM,,,,
17967558440659318,2138937634,,desyzaima,Semangat mamah pau @paula_verhoeven ❤️,0,0,0,09/29/2024 8:17 PM,,,,
18093511513462771,662240172,,evinora_agenmusahefiztravel_,🔥❤️😍,0,0,0,09/29/2024 8:17 PM,,,,
18030977597060628,67742152469,,dindin.rhma,"Mashaallah kak paulaaa, barakallahu fiik 🥺",1,0,0,09/29/2024 8:17 PM,,,,
17971997417785358,6938936160,,putriwildiyanti_,😍😍,0,0,0,09/29/2024 8:18 PM,,,,
17904994059030133,5364050467,,eonniauf,❤️❤️❤️❤️❤️❤️,0,0,0,09/29/2024 8:18 PM,,,,
18095084407466605,15042189928,,sitizn_id,Masha Allah mama pau🥰,0,0,0,09/29/2024 8:18 PM,,,,
18200016646295464,1535314975,,iive94,".masya allah ❤️cantik anggun berusaha hijrah ,semoga di pertemukn dan d ratukan dengan orang yang tepat🤲",0,0,0,09/29/2024 8:18 PM,,,,
18060756214664614,23407911868,,rennul_,"Ya Allah cantiknya,😍😇",0,0,0,09/29/2024 8:19 PM,,,,
18042866657059599,397848411,,ecifitriyani,Ya Allah pengen umroh🤲,0,0,0,09/29/2024 8:19 PM,,,,
18355676224190537,2134491512,,indriprawitasari,"Ya allah semoga ketidakmungkinan menjadi mungkin🤲
Insya allah suatu saat bisa kesini juga aamiin",1,0,0,09/29/2024 8:19 PM,,,,
18121598962386837,6060729119,,nurafnilapasau,Sehat selalu paula cantik,0,0,0,09/29/2024 8:19 PM,,,,
18070077187581026,7103943095,,new_littlemoon2110,Masyaallah 🥰,0,0,0,09/29/2024 8:19 PM,,,,
18086466742500589,3662595089,,arunitadina,Kak Paula hebat bgt 🥰 sehat selalu kak,1,0,0,09/29/2024 8:19 PM,,,,
18045055216840598,40259626178,,tearurln,Istiqomah Paula semoga berkah .Aamiin 🤲,0,0,0,09/29/2024 8:20 PM,,,,
18037175644957326,2211139164,,desi_wlnd,MaasyaaAllah tabaarakallah.....,0,0,0,09/29/2024 8:20 PM,,,,
18045683887995966,8065763927,,iit_novia,"Masyaallah cantiknya,,adem banget mata memandang 😍😍",0,0,0,09/29/2024 8:21 PM,,,,
"1,80251E+16",59209094736,,nadira_asyifa24,Salut sama hijrahnya mbak paula,0,0,0,09/29/2024 8:21 PM,,,,
18076558744558232,2896286006,,sukrianiakib_uq,Masya Allah,0,0,0,09/29/2024 8:21 PM,,,,
17867449455145365,1934158862,,ptiwi16,Masya Allah semakin cantik,0,0,0,09/29/2024 8:21 PM,,,,
18017978465302822,12245154098,,_alishaaa9,❤️,0,0,0,09/29/2024 8:22 PM,,,,
18058170685705716,15279508488,,cint4_1052,Masyaallah tabarakallah sehat sll kak paula 🥰,0,0,0,09/29/2024 8:22 PM,,,,
18306449995164525,5659625135,,dwiadisaputri,Adem banget lihat Paula yang sekarang 😇,0,0,0,09/29/2024 8:22 PM,,,,
18033376037266577,2942674900,,ekapratiwi168_,maasyaaAllah 😍❤️,0,0,0,09/29/2024 8:24 PM,,,,
17881072422083029,5863478646,,bunga.ratih85,MasyaaAllah pake cadar aja kk Paula..udah kyk bidadari dari surga 😇,0,0,0,09/29/2024 8:24 PM,,,,
18029061227078040,4339129066,,yulisah_lizzy,😢,0,0,0,09/29/2024 8:24 PM,,,,
17864669418162229,175296554,,giravasteriscka,❤️❤️❤️,0,0,0,09/29/2024 8:25 PM,,,,
18322403311199413,11525829305,,intan_faramadina,Mama pau😍,0,0,0,09/29/2024 8:25 PM,,,,
18020378858528361,8313917296,,neneng.suryani.180410,Masyallah kk pau sehat_sehat dan selalu bahagia ❤️,1,0,0,09/29/2024 8:26 PM,,,,
17904779961031908,331759392,,latifahaini,❤️❤️❤️❤️❤️❤️❤️❤️❤️,0,0,0,09/29/2024 8:27 PM,,,,
18044238893075426,4489693828,,nanii_1084,"MasyaAllah adem banget liatnya, semoga selalu Istiqomah 🤲🥰",0,0,0,09/29/2024 8:27 PM,,,,
18338652223126094,50544863994,,yeni_nrlh05,Maa syaa Allah😍,0,0,0,09/29/2024 8:27 PM,,,,
18280514008208132,2986372675,,wai_anne,Alhamdulillah❤️,0,0,0,09/29/2024 8:28 PM,,,,
17864227716228740,2220394748,,digor_mufti27,😍🥰❤️,1,0,0,09/29/2024 8:29 PM,,,,
18027370682121768,1413469077,,eyiiiinnn94,masyaAllah kak paula sehat2 yaa,0,0,0,09/29/2024 8:29 PM,,,,
18034705868241841,29440494746,,putriselfi24,peluk jauhh kak paula🥰,0,0,0,09/29/2024 8:29 PM,,,,
18313080181084256,1980294952,,chipur_bintoro,"Kak @paula_verhoeven terkadang kita berubah yang lebih baik malah seperti dijauhin, semoga tetap istiqomah ya kak.. Semangat kak @paula_verhoeven peluk jauh 👭",19,0,0,09/29/2024 8:29 PM,,,,
18061916977734494,356990929,,lina_lagie,❤️,0,0,0,09/29/2024 8:30 PM,,,,
17985160553590751,1702173861,,ikkawijayanti,Rindu kali hati ini Ya Rasullullah ❤️‍🩹🥺,0,0,0,09/29/2024 8:30 PM,,,,
18051979270896720,8515706760,,ninoex_mzy208,Masyaallah 🥰,0,0,0,09/29/2024 8:30 PM,,,,
18044120429057365,4129158152,,farida.husna22,MasyaAlloh MasyaAlloh,0,0,0,09/29/2024 8:31 PM,,,,
18370345957100309,7450585211,,mjynynt_ana,Cantik bgt masyaallah🥰,0,0,0,09/29/2024 8:31 PM,,,,
18060320071735120,4226051462,,dwinorfajriati_,Masyaallah kak paulaaa istiqomah selalu❤️,0,0,0,09/29/2024 8:33 PM,,,,
18011117771380384,4514184535,,cie_cie_ariyana,Kyk gini kok disia sia in baim ..pdhal cantik banget😇🥰,0,0,0,09/29/2024 8:33 PM,,,,
18443138296066734,2915319796,,tinaaaaaa96_,Masya Allah tabarrakallah KA paula cantik banget 😍🥰,1,0,0,09/29/2024 8:33 PM,,,,
17974168046769819,56716919896,,heranrptrr,Allahumasholi ala sayyidina Muhammad 🤲🤍,0,0,0,09/29/2024 8:33 PM,,,,
18351637180140859,441220301,,nabielahbey,Iri ya sama manusia yg sakit hatinya susahnya bisa merubah diri agar makin di cintai Allah..barakallahu fiik kak paula❤️,3,0,0,09/29/2024 8:33 PM,,,,
18078266209547509,1621741592,,amirul_keza,🥰❤️,0,0,0,09/29/2024 8:33 PM,,,,
18038386925155645,1384453986,,aina_marzan,"Semoga istiqomah ka paula, kebahagiaan itu tak selalu kita dapatkan dari sesama manusia, terkadang bahagia itu tercipta dari diri kita sendiri... barakallahu fiik 😊",1,0,0,09/29/2024 8:34 PM,,,,
18462879859055959,43105541505,,adhehennaart,Berlian❤️,0,0,0,09/29/2024 8:35 PM,,,,
18064704532629347,1916236367,,linda_hariantii,❤️,0,0,0,09/29/2024 8:35 PM,,,,
18017041772625468,46195154625,,tyajalalalesha,❤️❤️❤️,0,0,0,09/29/2024 8:36 PM,,,,
